,Code,Name,Lon,Lat,SLP(hPa),Winds(m/s),B,VLT,VUT,Time(Z),Storm Phase
0,TC190001,Alex,-82.19,27.99,1015.45,13.9,4.71,37.04,-36.64,1900-06-19 12:00:00,Tropical
1,TC190001,Alex,-82.26,27.79,1015.45,13.8,6.18,-12.97,-23.15,1900-06-19 18:00:00,Tropical
2,TC190001,Alex,-82.33,27.58,1015.45,13.7,3.28,-8.22,-18.6,1900-06-20 00:00:00,Tropical
3,TC190001,Alex,-82.4,27.38,1015.45,13.7,3.45,-0.38,-18.54,1900-06-20 06:00:00,Tropical
4,TC190001,Alex,-82.46,28.31,1014.22,11.7,1.72,8.23,-4.21,1900-06-20 12:00:00,Tropical
5,TC190001,Alex,-83.53,27.86,1012.62,14.8,0.32,22.94,-0.35,1900-06-20 18:00:00,Tropical
6,TC190001,Alex,-82.89,27.96,1008.76,19.1,0.21,39.65,14.13,1900-06-21 00:00:00,Tropical
7,TC190001,Alex,-83.82,27.88,1008.62,19.4,1.75,55.27,22.64,1900-06-21 06:00:00,Tropical
8,TC190001,Alex,-83.53,27.86,1007.86,18.3,-0.94,69.0,28.63,1900-06-21 12:00:00,Tropical
9,TC190001,Alex,-83.66,28.01,1005.88,24.0,2.62,79.44,24.97,1900-06-21 18:00:00,Tropical
10,TC190001,Alex,-83.82,27.88,1003.74,24.7,6.06,87.97,26.71,1900-06-22 00:00:00,Tropical
11,TC190001,Alex,-83.96,28.04,1003.81,21.7,5.16,87.89,20.48,1900-06-22 06:00:00,Tropical
12,TC190001,Alex,-84.18,28.29,1003.34,22.5,8.58,83.53,14.27,1900-06-22 12:00:00,Tropical
13,TC190001,Alex,-84.03,28.96,1004.62,18.5,13.78,78.25,8.01,1900-06-22 18:00:00,Tropical
14,TC190001,Alex,-85.02,29.57,1002.32,20.3,14.52,71.19,14.59,1900-06-23 00:00:00,Tropical
15,TC190001,Alex,-86.24,29.79,1003.27,19.6,14.95,62.7,19.23,1900-06-23 06:00:00,Tropical
16,TC190001,Alex,-86.69,29.67,1002.44,21.0,14.54,60.99,30.02,1900-06-23 12:00:00,Tropical
17,TC190001,Alex,-87.25,29.16,1004.5,17.7,10.17,63.24,42.84,1900-06-23 18:00:00,Tropical
18,TC190001,Alex,-86.81,28.99,1003.38,17.8,3.46,77.12,44.53,1900-06-24 00:00:00,Tropical
19,TC190001,Alex,-85.89,29.09,1002.59,22.8,-2.66,90.98,52.89,1900-06-24 06:00:00,Tropical
