,Code,Name,ABC,Trans Type,ET Begin Time,ET Complete Time,Peak Time,Trop Peak Time,Genesis Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete SLP,ET Complete Lon,ET Complete Lat,Genesis SLP,Genesis Lon,Genesis Lat
21,TC190305,Nicholas,A,3,1903-08-27 00:00:00,1903-08-27 00:00:00,1903-08-19 18:00:00,1903-08-19 18:00:00,1903-08-10 00:00:00,938.15,-73.46,22.59,938.15,-73.46,22.59,1003.11,-84.78,42.99,1003.11,-84.78,42.99,1012.06,-26.14,8.54
22,TC190306,Peach,A,0,1903-09-02 00:00:00,,1903-08-31 18:00:00,1903-08-31 18:00:00,1903-08-26 12:00:00,919.77,-63.84,32.06,919.77,-63.84,32.06,944.63,-62.08,35.62,,,,1010.7,-50.51,14.19
23,TC190307,Samson,A,1,1903-11-18 18:00:00,1903-11-19 00:00:00,1903-11-19 12:00:00,1903-11-18 12:00:00,1903-11-16 00:00:00,987.84,-37.11,46.19,990.79,-49.67,35.08,991.45,-47.91,36.75,994.35,-45.24,39.2,1008.56,-53.4,30.24
24,TC190401,Tiffany,A,1,1904-04-30 06:00:00,1904-04-30 18:00:00,1904-04-30 18:00:00,1904-04-27 00:00:00,1904-04-25 06:00:00,986.34,-53.79,46.05,993.41,-68.9,31.64,990.85,-58.9,40.8,986.34,-53.79,46.05,1005.96,-72.65,26.06
25,TC190403,Andy,A,3,1904-07-01 06:00:00,1904-07-01 06:00:00,1904-07-05 00:00:00,1904-06-30 06:00:00,1904-06-28 12:00:00,911.89,-91.3,28.37,1008.69,-70.49,29.75,1008.99,-73.54,29.2,1008.99,-73.54,29.2,1016.35,-65.47,30.52
26,TC190405,Charlie,A,1,1904-08-27 06:00:00,1904-08-28 06:00:00,1904-08-23 00:00:00,1904-08-23 00:00:00,1904-08-15 06:00:00,902.56,-77.0,23.08,902.56,-77.0,23.08,996.79,-82.75,38.94,996.8,-71.46,45.3,1008.96,-31.28,13.0
27,TC190406,Dorcas,A,1,1904-09-11 12:00:00,1904-09-15 00:00:00,1904-09-09 06:00:00,1904-09-09 06:00:00,1904-08-31 06:00:00,930.07,-50.7,27.25,930.07,-50.7,27.25,951.4,-53.53,37.47,971.99,-16.23,50.35,1003.82,-18.96,15.43
28,TC190407,Erik,A,0,1904-11-05 00:00:00,,1904-11-05 00:00:00,1904-11-04 18:00:00,1904-10-30 18:00:00,957.9,-60.76,41.72,961.07,-61.97,39.18,957.9,-60.76,41.72,,,,1007.68,-71.18,27.08
29,TC190501,Gloria,A,0,1905-01-06 06:00:00,,1905-01-07 12:00:00,1905-01-02 18:00:00,1905-01-03 00:00:00,975.23,-7.25,46.5,977.41,-30.28,33.82,986.28,-13.12,45.74,,,,979.6,-28.1,32.91
30,TC190503,Josie,A,1,1905-06-04 12:00:00,1905-06-09 00:00:00,1905-06-03 00:00:00,1905-06-03 00:00:00,1905-05-27 18:00:00,926.29,-83.44,26.25,926.29,-83.44,26.25,955.13,-76.67,31.76,986.18,-36.37,45.4,1004.33,-86.52,20.72
31,TC190506,Marco,A,0,1905-09-17 06:00:00,,1905-09-09 00:00:00,1905-09-09 00:00:00,1905-08-30 06:00:00,920.79,-70.38,27.34,920.79,-70.38,27.34,944.56,-48.38,44.53,,,,1008.13,-34.11,13.39
32,TC190507,Noelle,A,-1,,,1905-09-08 12:00:00,1905-09-08 12:00:00,1905-09-04 06:00:00,962.2,-83.74,28.94,962.2,-83.74,28.94,,,,,,,1012.21,-74.79,24.4
33,TC190508,Quinn,A,-1,,,1905-09-10 06:00:00,1905-09-10 06:00:00,1905-09-08 00:00:00,999.03,-44.36,39.47,999.03,-44.36,39.47,,,,,,,1004.08,-55.26,38.45
34,TC190510,Thomas,A,1,1905-09-29 00:00:00,1905-09-29 06:00:00,1905-09-25 18:00:00,1905-09-25 18:00:00,1905-09-19 00:00:00,969.88,-58.33,31.37,969.88,-58.33,31.37,998.3,-56.5,41.75,999.23,-55.0,44.0,1010.93,-43.73,24.42
35,TC190511,Winnie,A,0,1905-10-11 06:00:00,,1905-10-11 00:00:00,1905-10-11 00:00:00,1905-10-07 00:00:00,964.45,-85.03,28.11,964.45,-85.03,28.11,969.63,-85.48,29.45,,,,1004.81,-81.88,13.82
36,TC190512,Ana,A,-1,,,1905-10-12 00:00:00,1905-10-12 00:00:00,1905-10-10 12:00:00,990.74,-23.5,12.39,990.74,-23.5,12.39,,,,,,,1007.29,-16.47,12.34
37,TC190601,Bryan,A,-1,,,1906-01-19 18:00:00,1906-01-19 18:00:00,1906-01-18 18:00:00,949.16,-27.76,44.95,949.16,-27.76,44.95,,,,,,,969.56,-37.57,38.28
38,TC190604,Esther,A,-1,,,1906-03-18 12:00:00,1906-03-18 12:00:00,1906-03-16 12:00:00,974.34,-52.05,35.21,974.34,-52.05,35.21,,,,,,,985.64,-58.85,32.04
39,TC190605,Gabriel,A,-1,,,1906-06-24 00:00:00,1906-06-24 00:00:00,1906-06-18 00:00:00,975.71,-96.4,27.14,975.71,-96.4,27.14,,,,,,,1009.76,-86.8,20.73
40,TC190607,John,A,0,1906-09-09 12:00:00,,1906-09-07 06:00:00,1906-09-07 06:00:00,1906-09-01 06:00:00,936.34,-56.0,29.29,936.34,-56.0,29.29,956.8,-56.62,42.1,,,,1004.8,-16.59,11.9
41,TC190608,Kannas,A,1,1906-09-18 00:00:00,1906-09-18 18:00:00,1906-09-16 18:00:00,1906-09-16 18:00:00,1906-09-14 12:00:00,973.29,-93.57,30.02,973.29,-93.57,30.02,998.74,-89.45,34.22,999.41,-85.86,36.69,1002.75,-95.56,23.5
42,TC190610,Mandy,A,0,1906-10-10 12:00:00,,1906-09-27 18:00:00,1906-09-27 18:00:00,1906-09-23 18:00:00,925.0,-54.49,26.37,925.0,-54.49,26.37,982.69,-22.32,42.23,,,,1006.71,-39.9,13.88
43,TC190611,Nathan,A,3,1906-10-19 06:00:00,1906-10-19 06:00:00,1906-10-14 12:00:00,1906-10-14 12:00:00,1906-10-10 00:00:00,930.56,-71.98,28.13,930.56,-71.98,28.13,995.34,-72.7,38.9,995.34,-72.7,38.9,1008.48,-69.67,23.28
44,TC190613,Samuel,A,0,1906-12-26 12:00:00,,1906-12-27 00:00:00,1906-12-26 06:00:00,1906-12-20 06:00:00,979.56,-28.24,44.23,989.37,-31.53,34.64,987.9,-30.87,37.23,,,,1004.0,-33.96,23.57
45,TC190701,Tatiana,A,3,1907-01-11 00:00:00,1907-01-11 00:00:00,1907-01-09 06:00:00,1907-01-09 06:00:00,1907-01-07 12:00:00,977.15,-37.9,37.45,977.15,-37.9,37.45,997.1,-34.5,31.25,997.1,-34.5,31.25,980.55,-49.22,37.67
46,TC190702,William,A,2,1907-01-16 12:00:00,1907-01-16 18:00:00,1907-01-14 18:00:00,1907-01-14 18:00:00,1907-01-13 18:00:00,993.12,-25.65,36.16,993.12,-25.65,36.16,996.71,-40.93,33.55,997.21,-40.5,31.75,996.13,-23.09,30.58
47,TC190707,Erling,A,3,1907-03-20 06:00:00,1907-03-20 06:00:00,1907-03-14 18:00:00,1907-03-14 18:00:00,1907-03-14 18:00:00,985.73,-62.16,34.95,985.73,-62.16,34.95,1008.31,-19.75,34.5,1008.31,-19.75,34.5,985.73,-62.16,34.95
48,TC190708,Greta,A,-1,,,1907-05-04 18:00:00,1907-05-04 18:00:00,1907-05-02 06:00:00,983.01,-39.04,48.92,983.01,-39.04,48.92,,,,,,,1001.79,-59.96,23.39
49,TC190709,Hendrik,A,-1,,,1907-09-09 00:00:00,1907-09-09 00:00:00,1907-09-01 00:00:00,958.97,-82.19,15.55,958.97,-82.19,15.55,,,,,,,1003.06,-30.57,11.51
50,TC190710,Julie,A,0,1907-09-18 06:00:00,,1907-09-17 12:00:00,1907-09-17 12:00:00,1907-09-08 18:00:00,950.29,-58.57,38.99,950.29,-58.57,38.99,975.14,-54.44,47.83,,,,1004.63,-28.29,11.49
51,TC190711,Kevin,A,3,1907-09-20 00:00:00,1907-09-20 00:00:00,1907-09-17 06:00:00,1907-09-17 06:00:00,1907-09-11 18:00:00,910.62,-92.7,26.63,910.62,-92.7,26.63,999.15,-92.93,35.25,999.15,-92.93,35.25,1009.95,-85.62,25.62
52,TC190712,Laura,A,0,1907-09-29 00:00:00,,1907-09-23 18:00:00,1907-09-23 18:00:00,1907-09-20 00:00:00,992.03,-66.83,16.27,992.03,-66.83,16.27,1011.66,-87.0,24.5,,,,1005.73,-47.04,10.61
53,TC190713,Manuel,A,-1,,,1907-10-09 06:00:00,1907-10-09 06:00:00,1907-09-29 12:00:00,986.3,-19.25,36.5,986.3,-19.25,36.5,,,,,,,1007.62,-47.26,13.24
54,TC190714,Naomi,A,0,1907-10-12 12:00:00,,1907-10-07 18:00:00,1907-10-07 18:00:00,1907-10-02 12:00:00,947.4,-57.57,34.3,947.4,-57.57,34.3,979.11,-34.13,39.59,,,,1001.26,-74.97,24.27
55,TC190803,Wendy,A,3,1908-09-15 06:00:00,1908-09-15 06:00:00,1908-09-12 00:00:00,1908-09-12 00:00:00,1908-09-05 12:00:00,973.58,-90.92,28.75,973.58,-90.92,28.75,995.5,-80.6,41.87,995.5,-80.6,41.87,1012.06,-85.23,23.62
56,TC190804,Alissa,A,1,1908-10-05 18:00:00,1908-10-07 06:00:00,1908-10-04 18:00:00,1908-10-04 18:00:00,1908-09-23 00:00:00,970.06,-60.48,30.54,970.06,-60.48,30.54,987.69,-55.22,34.26,991.82,-35.25,46.75,1004.12,-18.48,11.51
57,TC190901,Carmen,A,0,1909-08-29 06:00:00,,1909-08-26 06:00:00,1909-08-26 06:00:00,1909-08-16 18:00:00,969.31,-89.72,29.95,969.31,-89.72,29.95,1008.48,-76.92,40.09,,,,1013.02,-32.91,11.29
58,TC190902,Daniel,A,-1,,,1909-09-09 18:00:00,1909-09-09 18:00:00,1909-09-05 00:00:00,997.62,-50.67,14.95,997.62,-50.67,14.95,,,,,,,1011.9,-32.51,9.88
59,TC190903,Emmelyn,A,0,1909-09-20 18:00:00,,1909-09-21 18:00:00,1909-09-20 12:00:00,1909-09-15 06:00:00,965.5,-24.63,48.14,971.05,-28.39,40.45,968.77,-27.63,41.92,,,,1009.5,-34.76,39.98
60,TC190904,Gregory,A,0,1909-10-06 06:00:00,,1909-10-06 18:00:00,1909-10-05 18:00:00,1909-09-25 12:00:00,937.54,-37.97,38.18,937.68,-38.85,32.66,940.31,-38.7,34.98,,,,1008.95,-5.43,13.82
61,TC190906,Joshua,A,-1,,,1909-10-08 18:00:00,1909-10-08 18:00:00,1909-10-08 18:00:00,999.34,-51.46,39.08,999.34,-51.46,39.08,,,,,,,999.34,-51.46,39.08
62,TC190907,Kelly,A,3,1909-12-07 12:00:00,1909-12-07 12:00:00,1909-12-08 06:00:00,1909-12-05 18:00:00,1909-12-05 06:00:00,990.26,-30.83,49.33,998.42,-40.79,29.28,998.34,-39.21,40.64,998.34,-39.21,40.64,1001.17,-37.37,29.31
63,TC191002,Nabil,A,0,1910-03-25 00:00:00,,1910-03-21 18:00:00,1910-03-21 18:00:00,1910-03-21 00:00:00,978.54,-42.99,37.55,978.54,-42.99,37.55,1018.03,-36.0,38.5,,,,1001.82,-53.01,33.53
64,TC191003,Rosalina,A,2,1910-04-08 00:00:00,1910-04-08 06:00:00,1910-04-09 18:00:00,1910-04-06 06:00:00,1910-04-05 06:00:00,971.43,-15.38,38.88,985.09,-40.9,40.76,990.0,-36.27,34.5,989.24,-34.23,33.56,992.38,-45.11,42.11
65,TC191005,Tracy,A,1,1910-08-15 06:00:00,1910-08-17 00:00:00,1910-08-07 18:00:00,1910-08-07 18:00:00,1910-07-31 00:00:00,920.17,-79.15,25.85,920.17,-79.15,25.85,997.55,-69.82,40.58,1001.96,-62.0,47.75,1006.87,-35.33,12.42
66,TC191007,Alberto,A,0,1910-09-01 00:00:00,,1910-08-26 12:00:00,1910-08-26 12:00:00,1910-08-15 12:00:00,950.67,-72.8,29.18,950.67,-72.8,29.18,968.91,-57.86,44.99,,,,1010.13,-29.75,11.68
67,TC191008,Blaise,A,0,1910-09-09 18:00:00,,1910-09-10 06:00:00,1910-09-08 12:00:00,1910-08-28 06:00:00,970.77,-52.79,42.91,971.48,-67.88,27.98,975.47,-60.53,38.74,,,,1008.74,-14.2,10.47
68,TC191009,Carlos,A,-1,,,1910-09-05 12:00:00,1910-09-05 12:00:00,1910-08-30 18:00:00,960.07,-95.97,21.73,960.07,-95.97,21.73,,,,,,,1009.26,-62.57,15.3
69,TC191010,Daisy,A,-1,,,1910-09-16 12:00:00,1910-09-16 12:00:00,1910-09-12 18:00:00,943.19,-96.05,22.65,943.19,-96.05,22.65,,,,,,,1003.93,-77.99,20.53
70,TC191011,Frederick,A,0,1910-09-20 18:00:00,,1910-09-18 06:00:00,1910-09-18 06:00:00,1910-09-13 00:00:00,976.21,-77.1,25.77,976.21,-77.1,25.77,1004.19,-91.47,32.54,,,,1010.29,-53.96,19.0
