,Code,Name,ABC,Trans Type,ET Begin Time,ET Complete Time,Peak Time,Trop Peak Time,Genesis Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete SLP,ET Complete Lon,ET Complete Lat,Genesis SLP,Genesis Lon,Genesis Lat
20,TC211207,Timothy,A,3,2112-11-06 12:00:00,2112-11-06 12:00:00,2112-11-03 18:00:00,2112-11-03 18:00:00,2112-10-30 12:00:00,947.91,-38.89,41.46,947.91,-38.89,41.46,987.15,-24.87,48.77,987.15,-24.87,48.77,1008.96,-48.58,30.53
21,TC211208,Wendy,A,1,2112-11-03 18:00:00,2112-11-07 12:00:00,2112-11-07 00:00:00,2112-11-03 06:00:00,2112-11-01 06:00:00,953.16,-58.56,43.49,997.6,-71.21,32.31,1002.08,-70.14,33.9,962.48,-61.3,46.97,1010.88,-78.24,27.63
22,TC211305,Hazel,A,1,2113-06-19 00:00:00,2113-06-19 18:00:00,2113-06-18 00:00:00,2113-06-18 00:00:00,2113-06-10 12:00:00,959.56,-71.9,33.49,959.56,-71.9,33.49,968.89,-67.21,38.58,980.91,-60.91,44.87,1003.72,-78.75,13.35
23,TC211307,Kelly,A,3,2113-09-24 12:00:00,2113-09-24 12:00:00,2113-09-22 12:00:00,2113-09-22 12:00:00,2113-09-11 18:00:00,963.15,-92.17,28.24,963.15,-92.17,28.24,1002.15,-91.41,34.53,1002.15,-91.41,34.53,1009.79,-95.66,18.36
24,TC211308,Luca,A,1,2113-09-21 00:00:00,2113-09-25 06:00:00,2113-09-18 00:00:00,2113-09-18 00:00:00,2113-09-12 18:00:00,911.77,-43.93,21.91,911.77,-43.93,21.91,956.55,-44.48,31.57,977.74,-48.83,53.69,1006.52,-29.2,14.42
25,TC211310,Nabil,A,1,2113-11-07 12:00:00,2113-11-07 18:00:00,2113-11-09 18:00:00,2113-11-07 06:00:00,2113-11-04 00:00:00,983.16,6.75,55.25,1006.06,-26.35,39.11,1007.17,-24.45,39.38,1004.1,-22.03,40.33,1011.02,-37.37,28.33
26,TC211403,Tracy,A,2,2114-02-25 00:00:00,2114-02-25 06:00:00,2114-02-22 18:00:00,2114-02-22 18:00:00,2114-02-21 00:00:00,999.96,-33.9,36.77,999.96,-33.9,36.77,1011.72,-37.25,36.67,1011.03,-35.89,36.81,1007.97,-38.22,35.46
27,TC211405,Alberto,A,1,2114-08-26 00:00:00,2114-08-28 00:00:00,2114-08-25 00:00:00,2114-08-25 00:00:00,2114-08-13 12:00:00,915.17,-63.64,32.17,915.17,-63.64,32.17,928.16,-60.6,37.45,973.34,-46.87,49.91,1005.95,-20.82,14.53
28,TC211410,Gwyneth,A,1,2114-10-19 00:00:00,2114-10-20 12:00:00,2114-10-19 06:00:00,2114-10-18 18:00:00,2114-10-16 18:00:00,984.05,-59.43,40.09,997.38,-59.77,37.36,991.13,-59.51,38.81,1001.32,-49.25,48.25,1009.46,-58.96,30.83
29,TC211501,Ian,A,1,2115-10-27 00:00:00,2115-10-27 06:00:00,2115-10-25 18:00:00,2115-10-25 18:00:00,2115-10-24 00:00:00,972.5,-59.47,34.9,972.5,-59.47,34.9,988.68,-47.67,43.95,989.62,-43.51,46.89,997.17,-61.9,29.32
