,Code,Name,ABC,Trans Type,ET Begin Time,ET Complete Time,Peak Time,Trop Peak Time,Genesis Time,Peak SLP,Peak Lon,Peak Lat,Trop Peak SLP,Trop Peak Lon,Trop Peak Lat,ET Begin SLP,ET Begin Lon,ET Begin Lat,ET Complete SLP,ET Complete Lon,ET Complete Lat,Genesis SLP,Genesis Lon,Genesis Lat
0,TC210001,Alex,A,-1,,,2100-02-04 12:00:00,2100-02-04 12:00:00,2100-02-03 00:00:00,991.82,-34.58,27.5,991.82,-34.58,27.5,,,,,,,1005.8,-36.05,31.78
1,TC210003,Colin,A,2,2100-03-03 18:00:00,2100-03-04 00:00:00,2100-03-01 12:00:00,2100-03-01 12:00:00,2100-03-01 06:00:00,943.01,-45.04,45.78,943.01,-45.04,45.78,970.11,-32.3,41.93,971.02,-29.14,42.38,944.96,-45.1,44.65
2,TC210004,Dawn,A,0,2100-08-10 06:00:00,,2100-08-09 12:00:00,2100-08-09 12:00:00,2100-08-07 00:00:00,997.61,-49.73,45.27,997.61,-49.73,45.27,1004.28,-43.63,45.36,,,,1010.91,-67.95,39.79
3,TC210005,Ernest,A,2,2100-09-01 06:00:00,2100-09-01 12:00:00,2100-08-28 12:00:00,2100-08-28 12:00:00,2100-08-21 06:00:00,968.16,-79.09,29.45,968.16,-79.09,29.45,1003.3,-76.85,39.42,1001.84,-74.73,41.55,1009.56,-29.92,13.56
4,TC210006,Grace,A,-1,,,2100-08-25 18:00:00,2100-08-25 18:00:00,2100-08-22 18:00:00,983.15,-86.28,25.74,983.15,-86.28,25.74,,,,,,,1003.73,-65.16,18.36
5,TC210007,Harrison,A,0,2100-11-13 12:00:00,,2100-11-16 00:00:00,2100-11-10 18:00:00,2100-11-10 18:00:00,942.74,-44.0,51.25,963.95,-71.94,35.33,990.63,-69.2,36.56,,,,963.95,-71.94,35.33
6,TC210103,Lydia,A,1,2101-07-26 12:00:00,2101-07-28 00:00:00,2101-07-26 18:00:00,2101-07-26 06:00:00,2101-07-21 00:00:00,971.18,-50.38,41.08,972.98,-56.11,37.49,971.89,-53.14,39.28,992.45,-37.66,46.61,1006.8,-78.09,26.66
7,TC210105,Nicole,A,1,2101-09-12 18:00:00,2101-09-14 18:00:00,2101-09-08 18:00:00,2101-09-08 18:00:00,2101-08-31 18:00:00,902.97,-57.85,23.01,902.97,-57.85,23.01,934.13,-60.07,35.72,962.56,-47.38,49.02,1007.41,-16.98,11.22
8,TC210106,Phil,A,1,2101-09-22 18:00:00,2101-09-23 18:00:00,2101-09-21 00:00:00,2101-09-21 00:00:00,2101-09-14 18:00:00,987.95,-57.9,27.28,987.95,-57.9,27.28,997.21,-55.88,36.75,1001.49,-44.6,45.12,1008.55,-33.91,12.24
9,TC210107,Song,A,1,2101-10-21 00:00:00,2101-10-22 12:00:00,2101-10-15 18:00:00,2101-10-15 18:00:00,2101-10-09 12:00:00,972.53,-44.38,34.56,972.53,-44.38,34.56,1000.6,-31.27,43.82,1009.88,-14.6,43.7,1012.97,-41.84,19.77
10,TC210108,Tony,A,1,2101-10-31 12:00:00,2101-11-03 00:00:00,2101-11-03 06:00:00,2101-10-31 00:00:00,2101-10-29 12:00:00,958.33,-57.25,45.25,993.43,-83.39,18.79,991.45,-82.16,20.04,966.28,-60.25,42.5,1004.12,-80.42,12.14
11,TC210109,Victoria,A,-1,,,2101-11-01 06:00:00,2101-11-01 06:00:00,2101-11-01 00:00:00,997.76,-37.71,31.28,997.76,-37.71,31.28,,,,,,,1002.59,-37.19,31.64
12,TC210201,Audrey,A,-1,,,2102-01-11 06:00:00,2102-01-11 06:00:00,2102-01-09 06:00:00,948.15,-43.23,37.48,948.15,-43.23,37.48,,,,,,,963.74,-60.31,38.45
13,TC210203,Christine,A,-1,,,2102-03-15 06:00:00,2102-03-15 06:00:00,2102-03-11 18:00:00,953.94,-34.58,45.0,953.94,-34.58,45.0,,,,,,,1005.27,-62.72,33.5
14,TC210303,Jacob,A,1,2103-09-28 12:00:00,2103-10-01 12:00:00,2103-09-30 06:00:00,2103-09-23 18:00:00,2103-09-13 18:00:00,973.1,-65.86,41.49,986.2,-65.04,24.31,996.27,-72.1,34.29,990.47,-48.82,48.66,1007.88,-30.37,10.25
15,TC210402,Luke,A,-1,,,2104-04-30 06:00:00,2104-04-30 06:00:00,2104-04-29 06:00:00,973.3,-42.31,40.05,973.3,-42.31,40.05,,,,,,,977.49,-48.2,42.22
16,TC210403,Maho,A,-1,,,2104-05-05 12:00:00,2104-05-05 12:00:00,2104-05-03 00:00:00,998.37,-62.95,29.01,998.37,-62.95,29.01,,,,,,,1006.0,-72.48,23.9
17,TC210406,Samson,A,1,2104-11-04 06:00:00,2104-11-04 12:00:00,2104-11-03 00:00:00,2104-11-03 00:00:00,2104-11-01 00:00:00,983.4,-80.23,30.79,983.4,-80.23,30.79,1002.87,-78.57,33.49,1003.32,-77.3,34.64,1001.5,-64.44,31.49
