,Code,Name,Lon,Lat,SLP(hPa),Winds(m/s),B,VLT,VUT,Time(Z),Storm Phase
0,TC210103,Lydia,-78.85,25.82,1008.47,30.9,-9.06,73.37,-74.91,2101-07-20 18:00:00,Tropical
1,TC210103,Lydia,-78.09,26.66,1006.8,30.8,-4.97,137.13,27.39,2101-07-21 00:00:00,Tropical
2,TC210103,Lydia,-78.25,28.44,1004.49,29.1,-5.78,136.38,27.92,2101-07-21 06:00:00,Tropical
3,TC210103,Lydia,-79.09,29.45,1006.41,22.1,-5.64,130.32,23.89,2101-07-21 12:00:00,Tropical
4,TC210103,Lydia,-79.59,30.04,1005.71,25.9,-2.76,137.84,30.38,2101-07-21 18:00:00,Tropical
5,TC210103,Lydia,-79.87,30.36,1004.52,23.9,-3.24,138.62,14.53,2101-07-22 00:00:00,Tropical
6,TC210103,Lydia,-80.26,30.49,1003.17,21.4,-4.87,138.93,4.46,2101-07-22 06:00:00,Tropical
7,TC210103,Lydia,-79.93,31.29,1001.9,24.1,-3.34,132.59,-1.74,2101-07-22 12:00:00,Tropical
8,TC210103,Lydia,-79.97,31.97,1001.84,19.9,-5.34,138.81,-17.7,2101-07-22 18:00:00,Tropical
9,TC210103,Lydia,-80.11,32.13,1002.53,18.5,-7.24,136.16,-25.04,2101-07-23 00:00:00,Tropical
10,TC210103,Lydia,-79.55,32.02,1002.31,22.8,-8.19,142.52,-15.61,2101-07-23 06:00:00,Tropical
11,TC210103,Lydia,-78.41,33.41,999.07,25.0,-8.85,157.52,-6.18,2101-07-23 12:00:00,Tropical
12,TC210103,Lydia,-77.3,33.67,997.96,26.2,-11.46,182.07,4.18,2101-07-23 18:00:00,Tropical
13,TC210103,Lydia,-75.94,34.19,996.69,26.9,-9.16,195.93,37.1,2101-07-24 00:00:00,Tropical
14,TC210103,Lydia,-74.66,34.8,992.67,29.7,-9.55,209.69,73.84,2101-07-24 06:00:00,Tropical
15,TC210103,Lydia,-73.08,34.87,986.29,35.5,-8.62,218.69,99.81,2101-07-24 12:00:00,Tropical
16,TC210103,Lydia,-71.42,34.72,979.39,40.0,-7.51,234.13,125.06,2101-07-24 18:00:00,Tropical
17,TC210103,Lydia,-69.27,34.68,979.81,45.7,-6.7,251.55,131.04,2101-07-25 00:00:00,Tropical
18,TC210103,Lydia,-67.51,34.52,978.06,47.0,-7.72,269.13,115.25,2101-07-25 06:00:00,Tropical
19,TC210103,Lydia,-64.88,34.42,982.17,43.8,-7.36,284.42,89.27,2101-07-25 12:00:00,Tropical
20,TC210103,Lydia,-62.71,35.06,982.68,40.5,-2.88,283.52,85.03,2101-07-25 18:00:00,Tropical
21,TC210103,Lydia,-59.51,35.99,981.46,40.6,2.39,266.84,83.61,2101-07-26 00:00:00,Tropical
22,TC210103,Lydia,-56.11,37.49,972.98,44.4,10.08,237.64,101.91,2101-07-26 06:00:00,Tropical
23,TC210103,Lydia,-53.14,39.28,971.89,45.5,20.97,199.36,129.85,2101-07-26 12:00:00,Transition
24,TC210103,Lydia,-50.38,41.08,971.18,42.3,29.14,156.29,154.19,2101-07-26 18:00:00,Transition
25,TC210103,Lydia,-48.15,42.59,972.31,35.9,32.42,115.27,155.53,2101-07-27 00:00:00,Transition
26,TC210103,Lydia,-45.88,43.68,975.49,35.5,34.48,73.38,140.79,2101-07-27 06:00:00,Transition
27,TC210103,Lydia,-43.65,44.6,981.17,31.4,34.39,35.22,103.16,2101-07-27 12:00:00,Transition
28,TC210103,Lydia,-41.12,45.4,986.67,30.2,30.14,2.57,50.61,2101-07-27 18:00:00,Transition
29,TC210103,Lydia,-37.66,46.61,992.45,26.9,27.65,-18.92,-11.67,2101-07-28 00:00:00,Extratropical
30,TC210103,Lydia,-33.86,47.91,995.55,24.8,26.26,-29.48,-76.68,2101-07-28 06:00:00,Extratropical
31,TC210103,Lydia,-30.06,49.04,998.6,22.0,24.24,-38.86,-138.03,2101-07-28 12:00:00,Extratropical
32,TC210103,Lydia,-26.27,50.16,1001.66,19.3,22.77,-51.97,-195.99,2101-07-28 18:00:00,Extratropical
33,TC210103,Lydia,-22.75,51.5,1004.8,23.0,21.92,-54.82,-225.97,2101-07-29 00:00:00,Extratropical
34,TC210103,Lydia,-19.5,54.0,1006.24,19.1,21.51,-53.09,-235.15,2101-07-29 06:00:00,Extratropical
35,TC210105,Nicole,-15.02,9.92,1010.22,15.2,6.91,-97.33,-52.22,2101-08-31 12:00:00,Tropical
36,TC210105,Nicole,-16.98,11.22,1007.41,17.4,1.17,-24.15,-72.09,2101-08-31 18:00:00,Tropical
37,TC210105,Nicole,-18.85,11.35,1008.68,14.9,0.32,-5.94,-68.92,2101-09-01 00:00:00,Tropical
38,TC210105,Nicole,-18.48,11.51,1004.44,22.4,-1.14,16.46,-61.18,2101-09-01 06:00:00,Tropical
39,TC210105,Nicole,-17.29,11.8,1001.73,30.2,-0.43,47.48,-54.12,2101-09-01 12:00:00,Tropical
40,TC210105,Nicole,-17.77,13.24,999.37,28.9,-0.93,69.34,-49.96,2101-09-01 18:00:00,Tropical
41,TC210105,Nicole,-19.19,13.92,1000.25,27.5,0.49,82.59,-23.16,2101-09-02 00:00:00,Tropical
42,TC210105,Nicole,-20.82,14.53,998.38,26.6,3.47,78.55,-1.05,2101-09-02 06:00:00,Tropical
43,TC210105,Nicole,-22.86,14.46,999.78,30.8,5.94,71.52,3.47,2101-09-02 12:00:00,Tropical
44,TC210105,Nicole,-23.98,14.23,999.49,22.8,7.3,71.95,3.44,2101-09-02 18:00:00,Tropical
45,TC210105,Nicole,-24.8,14.44,1003.82,21.2,7.53,77.04,20.42,2101-09-03 00:00:00,Tropical
46,TC210105,Nicole,-26.79,14.83,999.57,30.5,7.5,86.62,16.42,2101-09-03 06:00:00,Tropical
